ODYSSEY — BOOK XXIV full-book caption alignment
Duration: 1750.896s
Narration cues: 424
Source words: 5625
Directly matched source words: 5411 (96.2%)
Recognized words: 5671
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
  1 |    6.720 | and                |              0 | And Hermes of Cyllene was calling out the souls / of the suitor-men. He held in his hands the rod,
  2 |   12.780 | beautiful          |              0 | beautiful, golden, with which he charms men's eyes
  3 |   15.420 | to                 |              0 | to sleep, whose eyes he wills, / and wakes others from their slumber;
  4 |   20.620 | With               |              0 | with this he set them moving and led them, / and they followed, squeaking.
  5 |   25.260 | As                 |              0 | As when bats in the corner of a wondrous / cave flit squeaking, when one drops off
  6 |   30.000 | the                |              0 | the chain of them clinging to the rock and to each other:
  7 |   33.020 | So                 |              0 | so these went with him, squeaking; and Hermes / the kindly led them down along the dank ways.
  8 |   39.000 | Past               |              0 | Past the streams of Ocean they went, past the White Rock,
  9 |   42.180 | past               |              0 | past the gates of the Sun and the country of dreams, / and soon they came to the meadow of asphodel,
 10 |   47.540 | where              |              0 | where the souls have their dwelling — / the phantoms of the worn-out dead.
 11 |   51.680 | There              |              0 | There they found the soul of Achilles, Peleus' son, / and of Patroclus, and of blameless Antilochus,
 12 |   57.600 | and                |              0 | and of Ajax, who was first in beauty and in build of / all the Danaans after the blameless son of Peleus.
 13 |   64.280 | These              |              0 | These were gathered around Achilles; and close / to them came the soul of Agamemnon, Atreus' son,
 14 |   70.360 | grieving,          |              0 | grieving; and around him others / were gathered — all who died
 15 |   73.560 | beside             |              0 | beside him in Aegisthus' house, and met their fate.
 16 |   77.140 | And                |              0 | And the soul of Peleus' son spoke to him first:
